,xpos,ypos,zpos,bz[nT],by[nT],bx[nT],pdyn[nPa]
9266,11.29984483,-2.050542699,-2.518508443,-0.000564999,1.070000052,-3.710000038,1.13326
12776,7.020986791,9.266059626,-4.743577837,-0.78405,1.50999999,1.559999943,2.02055
8702,9.960447793,-0.71385164,-5.312758539,0.0199958,1.950000048,-2.369999886,2.12278
2155,-0.326404566,-5.941234389,-13.01163371,6.11628,1.799999952,-2.799999952,3.02845
3669,8.720019905,10.51001475,-1.090001285,0.149333,-3.390000105,5.909999847,1.07898
251,-49.96668393,19.82539437,8.709775517,8.420000076,-5.349999905,-2.380000114,4.119999886
4839,-6.633958462,6.135498637,12.87796861,0.25,0.980000019,-5.739999771,5.09632
11559,10.16641244,0.718166078,-3.508985718,-1.315,-1.269999981,2.75,2.14263
7736,9.578481298,1.485073621,-2.846348047,1.91375,1.350000024,-3.99000001,3.00211
9964,-5.270131114,-18.48015344,0.414565762,-1.12501,-1.379999995,-0.829999983,3.01164
3582,-2.750024562,16.75997265,3.859991892,3.05882,-2.519999981,3.299999952,2.47303
11815,9.287747193,7.504499878,-3.803451709,0.568249,9999.990234,9999.990234,2.77315
3447,9.090042724,4.410020875,1.340009851,-1.36982,10.82999992,-7.820000172,2.19119
2027,3.800273512,1.018180885,-9.618358204,1.00247,-2.099999905,3,1.89739
3558,3.306786823,-12.53001234,-0.100000088,-4.59667,-2.559999943,-2.569999933,2.31211
10746,11.22634719,3.763763256,-2.21298104,0.6062,0.980000019,-2.569999933,1.56569
2493,-3.743368213,-12.25330915,8.486221762,0.659927,5.699999809,3.799999952,6.31895
669,8.639997019,-0.850000847,1.280001325,-2.8,4.900000095,-10.69999981,5.47
3440,5.109965233,12.21005134,3.310012089,-1.2235,2.74000001,-2.599999905,2.62775
10150,1.330375943,15.77293454,-1.183190374,-1.2272,-2.180000067,0.910000026,1.3432
12123,10.98655307,-1.48450777,-2.947794913,0.18542,0.07,1.129999995,1.37344
5941,-5.373023186,11.65699081,12.65601251,-0.88,-1.379999995,0.07,2.73982
12285,7.693050191,2.746173999,-3.632811465,-2.01743,-0.720000029,3.140000105,5.3317
11155,10.74019825,-1.634934665,-2.456548263,-0.0178673,-1.789999962,3.369999886,2.73638
8665,9.347229508,5.91516702,-3.697656899,1.04,9999.990234,9999.990234,1.30979
11933,10.47727021,-0.782112456,-2.638244073,0.305582,-6.949999809,4.329999924,1.54947
6921,11.46644675,0.519164027,-3.017095511,-0.664398,-10.28999996,-4.170000076,2.43316
6311,0.124991569,-9.683981438,-10.6259887,1.86,0.720000029,-2.319999933,2.08211
4813,-8.758472363,-13.27703473,7.438514872,-6.14,-0.74000001,-4.260000229,4.62421
466,-56.03217392,-26.92398503,-0.686691181,0.349999994,-15.77999973,7.449999809,5.090000153
5191,-8.202013021,-18.63402323,0.073000101,2.19,-3.019999981,-0.680000007,2.69947
3706,7.239983147,8.74998029,-4.019992004,-0.923859,11.82999992,-6.110000134,1.80368
11323,9.733893163,-3.134817315,-1.987096008,1.33857,0.889999986,-2.829999924,2.50013
7920,8.617461515,7.463945328,-3.572404735,0.478119,8.289999962,-1.389999986,2.80766
12978,-0.245039506,15.9066037,-0.352686967,1.49687,-0.879999995,0.02,1.77899
10911,9.515465512,8.155976753,-4.347889532,-4.55273,0.25,-6.190000057,2.71842
6646,10.85987161,4.162583148,-2.008754949,-0.18,-1.809999943,1.049999952,1.68505
5435,-3.359078289,18.45394126,-3.030485992,-1.43,-1,-7.050000191,2.5875
8995,8.874039668,7.460085634,-4.465913039,-1.515,-2.450000048,-1.429999948,1.43568
10116,2.322227729,16.8810275,0.056363266,1.1348,-0.029999999,1.639999986,1.20859
11499,13.49007941,-3.96065886,-2.666976377,0.602499,1.639999986,-2.640000105,0.696053
1972,4.683929469,5.860251332,9.723609862,-1.83009,2.599999905,-1.100000024,3.23235
2664,-5.005179554,16.21808017,-8.558780808,-0.797065,-7.199999809,3.099999905,3.07759
9206,12.22579134,0.151524435,-3.328520287,0.429695,-1.649999976,-3.420000076,1.10083
756,8.900011101,-6.550013904,2.000005067,0.4,-5.300000191,4.300000191,2.12
