,xpos,ypos,zpos,bz[nT],by[nT],bx[nT],pdyn[nPa]
12418,8.895417755,9.202990657,-3.791434654,2.596,1.600000024,0.920000017,1.00474
11072,11.66763423,-0.764720195,-3.030869721,2.44575,-2.650000095,-2.00999999,1.73105
13592,10.96065377,4.029120542,-2.56580715,1.211,-3.619999886,3.630000114,1.24684
11070,11.61726954,-0.790211493,-3.006941219,1.60758,0.970000029,-2.50999999,1.76737
10323,10.44489657,2.101066103,-3.551273164,-0.205,-9.489999771,6.110000134,1.15605
13391,9.73280923,-4.800804446,-1.989020715,0.686504,-2.450000048,-2.930000067,1.72197
4125,3.69286666,-8.484102258,6.946052455,4.01938,6.289999962,3.069999933,3.28195
4691,-0.935743269,15.07727029,1.09756559,-2.32118,-0.150000006,3.799999952,3.79179
4196,0.370329039,-14.24222793,4.305161879,2.46094,2.910000086,-3.069999933,1.94895
8325,-13.59508177,-22.18391427,6.211988383,-3.79,-0.170000002,-4.039999962,4.6
8805,10.06633852,-0.171429202,-2.518397284,-1.13932,-0.730000019,-3.150000095,2.44526
5092,-8.56047343,-16.4727347,-3.739632331,-1.21786,2.50999999,-8.340000153,2.31211
5656,-4.950067045,-16.91001713,-4.770012795,0.620722,-4.099999905,-1.120000005,2.86236
8644,10.17301363,1.124977604,-2.72666152,2.391,12.02000046,-0.519999981,2.48612
9028,12.59647167,-1.614950726,-3.148315666,0.25302,3.410000086,-2.930000067,1.50361
14657,-5.06428032,17.0501095,2.708081702,0.111167,1.370000005,-3.069999933,3.24895
3703,3.128554452,3.841848379,-10.03704702,-0.67142,1.629999995,2.609999895,1.82718
13184,11.68710195,3.129290065,-4.921582462,-0.0143127,1.639999986,-2.539999962,0.861138
14310,8.864252018,-5.251523907,-2.272864592,2.688,-7.150000095,0.579999983,1.87874
14465,-2.368587481,18.69217915,2.365827578,0.600012,-3.309999943,-1.639999986,2.21405
13662,6.924127165,8.516001785,-2.234300168,1.21495,-2.579999924,1.070000052,3.25317
